clave,comentario,,
890076971,Porque si,,
10265072,Porque si,,
080038661,Porque si,,
100074487,Porque si,,
620020151,Porque si,,
840032550,Porque si,,
870112800,Porque si,,
080008748,Porque si,,
890019488,Porque si,,
10282226,Porque si,,
660001601,Porque si,,
110048132,Porque si,,
880017805,Porque si,,
440084230,Porque si,,
900058085,Porque si,,
900061465,Porque si,,
460063510,Porque si,,
34008045,Porque si,,
110089585,Porque si,,
110015606,Porque si,,
910038869,Porque si,,
310051324,Porque si,,
440094890,Porque si,,
010058010,Porque si,,
870105614,Porque si,,
930018405,Porque si,,
110018869,Porque si,,
340069562,Porque si,,
460190880,Porque si,,
280153521,Porque si,,
840047801,Porque si,,
850015746,Porque si,,
850098944,Porque si,,
650064425,Porque si,,
480013114,Porque si,,
040044427,Porque si,,
010035247,Porque si,,
920084796,Porque si,,
890028253,Porque si,,
660068693,Porque si,,
170021648,Porque si,,
080105345,Porque si,,
920029967,Porque si,,
040067225,Porque si,,
460136239,Porque si,,
340122082,Porque si,,
110024400,Porque si,,
460076390,Porque si,,
660014212,Porque si,,
010016149,Porque si,,
170019103,Porque si,,
440030656,Porque si,,
460176133,Porque si,,
040040514,Porque si,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
